"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.779787729E2,-3.083891487E1,3.158700180E1,-2.467431641E1
1.780286359E2,-3.269509125E1,2.887009430E1,-2.669064331E1
1.780784979E2,-3.387755585E1,2.620216751E1,-2.724645996E1
1.781283609E2,-3.401684570E1,2.447247314E1,-2.802749634E1
1.781782229E2,-3.498837280E1,2.370641327E1,-2.879083252E1
1.782280859E2,-3.552444458E1,2.370835495E1,-2.798915100E1
1.782779479E2,-3.556594467E1,2.499953461E1,-2.663285828E1
1.783278109E2,-3.476767731E1,2.617676544E1,-2.738732910E1
1.783776729E2,-3.442173004E1,2.800256729E1,-2.545005798E1
1.784275359E2,-3.254061127E1,2.972452164E1,-2.530894470E1
1.784773979E2,-3.202449036E1,3.147882462E1,-2.535420227E1
1.785272609E2,-3.151435280E1,3.317119598E1,-2.341868591E1
1.785771229E2,-2.860838699E1,3.493648911E1,-2.383242798E1
1.786269859E2,-2.694896889E1,3.615087891E1,-2.445037842E1
1.786768479E2,-2.526894569E1,3.795009995E1,-2.445246887E1
