"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.153807871E1,-1.734825969E-2,1.926088929E-1,2.335812151E-2
1.158794171E1,3.020132426E-3,3.265261054E-1,-3.651116788E-2
1.163780471E1,-4.397160932E-2,1.503047198E-1,-1.200236380E-1
1.168766771E1,-2.040564716E-1,2.054172456E-1,-7.216634601E-2
1.173753071E1,-6.143036112E-2,2.482536137E-1,-2.348702587E-2
1.178739371E1,-1.653136015E-1,1.813818365E-1,-3.672216088E-2
1.183725671E1,-2.868428230E-1,4.738106132E-1,-2.620997727E-1
1.188711971E1,9.849701077E-2,8.065649867E-2,-2.903917432E-1
1.193698271E1,1.162806451E-1,-2.411048487E-2,1.940616872E-3
1.198684571E1,-2.975503504E-1,5.351520181E-1,8.198272437E-2
1.203670871E1,-3.047338426E-1,6.364607215E-1,-5.312321708E-2
1.208657171E1,5.123054981E-2,-2.587971985E-1,1.809331477E-1
1.213643471E1,-4.221191630E-2,-3.571531922E-2,2.063512057E-1
1.218629671E1,-5.572407506E-3,5.595803261E-2,1.177037954E-1
1.223615971E1,-2.075084671E-2,-2.295821011E-1,1.659863293E-1
1.228602271E1,4.782688618E-2,-3.934310675E-1,2.255435586E-1
1.233588571E1,2.203305066E-1,-7.794813514E-1,1.855341196E-1
1.238574871E1,1.630360484E-1,-3.818514049E-1,5.474650487E-2
1.243561312E1,1.614232361E-2,-7.216894627E-1,-1.476156805E-2
1.248547613E1,3.372990489E-1,-8.487969041E-1,9.856463224E-2
1.253533912E1,2.383208126E-1,-7.634040117E-1,9.886475280E-3
1.258520212E1,8.171777427E-2,-4.253291190E-1,1.256422997E-1
1.263506512E1,1.842445284E-1,2.308935300E-2,2.282410264E-1
1.268492813E1,2.934429236E-2,3.268983588E-2,2.563512623E-1
1.273479112E1,8.187663555E-2,6.947150230E-1,2.727240026E-1
1.278465412E1,-1.329299659E-1,8.226343393E-1,2.251543105E-1
1.283451712E1,-1.136014014E-1,5.552877188E-1,-2.329257876E-1
1.288438013E1,-1.379811764E-1,2.027517855E-1,-5.619596243E-1
1.293424312E1,3.051666915E-1,4.482169077E-2,-1.769716293E-2
1.298410612E1,-1.421586126E-1,-2.403207272E-1,9.693543427E-3
1.303396912E1,1.606227160E-1,-1.476862878E-1,-1.555738598E-1
1.308383213E1,2.931301855E-2,-6.724497676E-2,-2.619645000E-2
1.313369512E1,9.600306861E-3,8.308998495E-2,-1.825076789E-1
1.318355812E1,1.451342702E-1,-1.057150774E-3,-9.000826627E-2
1.323342112E1,1.180924289E-2,-4.048560560E-1,-6.992565840E-2
1.328328412E1,-4.091122374E-2,-5.263844728E-1,1.830184646E-2
1.333314712E1,-3.112412058E-2,-4.011848569E-1,6.425332278E-3
1.338301012E1,2.422370203E-2,-3.295432627E-1,1.283256058E-2
1.343287237E1,-2.655131370E-2,-5.405753106E-2,7.938350551E-3
1.348273437E1,6.272835284E-2,-9.369792789E-2,-1.051451638E-1
1.353259737E1,-5.738566816E-2,-3.107279837E-1,4.561161995E-2
1.358246037E1,-6.285459548E-2,-4.075700045E-1,-9.825674444E-2
1.363232338E1,-1.892828383E-2,-1.297540516E-1,-1.609518658E-3
1.368218637E1,-9.616136551E-3,-4.045932293E-1,3.144895285E-2
1.373204937E1,1.090570018E-1,-9.802072644E-1,3.061170578E-1
1.378191237E1,-1.770545244E-1,-4.999547899E-1,3.938544393E-1
1.383177538E1,2.780788839E-1,8.273584396E-2,3.841219842E-2
1.388163837E1,-5.560557842E-1,-3.017732799E-1,-3.920981586E-1
1.393150137E1,-3.957297504E-1,-2.016870379E-1,-3.286776245E-1
1.398136437E1,-7.311348617E-2,-3.698500097E-1,1.269958615E-1
1.403122738E1,-3.946348131E-1,-2.782620788E-1,1.027517021E-1
1.408109037E1,-2.907039821E-1,-6.111645103E-1,-8.698339015E-2
1.413095337E1,-2.274512313E-2,-9.362410903E-1,1.257680506E-1
1.418081637E1,-4.598439485E-2,-5.965270400E-1,9.428565949E-2
1.423067938E1,-1.371727437E-1,-1.227538228E0,-1.069125757E-1
1.428054237E1,-5.303788185E-2,-1.311257005E0,-2.930261195E-1
1.433040437E1,-1.284527779E-1,-1.269693732E0,-2.405814976E-1
1.438026738E1,-1.342602074E-1,-8.144286871E-1,-2.089765482E-2
1.443013033E1,-2.089482993E-1,-1.045115709E0,-2.843871340E-2
1.447999333E1,-4.713874757E-1,-6.672320962E-1,-1.003346667E-1
1.452985633E1,-2.938080430E-1,-4.282233417E-1,-4.812990502E-2
1.457971933E1,2.281450666E-2,-4.969934523E-1,-7.119486481E-2
1.462958233E1,-8.260267973E-2,-5.284690261E-1,-1.326848716E-1
1.467944533E1,-1.845135242E-1,-3.194517493E-1,-6.412129104E-2
1.472930833E1,-4.895740002E-2,-4.276205301E-1,1.521943510E-2
1.477917133E1,2.676798403E-2,-6.688966602E-2,-3.352617100E-2
1.482903433E1,1.996042132E-1,-6.308597922E-1,-2.998473346E-1
1.487889733E1,1.797032356E0,-2.096368074E0,-7.569146156E-1
1.492876033E1,1.834253907E0,-5.083268881E-1,-1.136031866E0
1.497862233E1,1.895723104E0,-2.515584469E0,-1.724332452E0
1.502848533E1,1.473549843E0,5.434024930E-1,-6.263155937E-1
1.507834833E1,9.678948522E-1,-5.824051499E-1,-7.220240235E-1
1.512821133E1,8.857286572E-1,4.290519655E-1,-5.672534108E-1
1.517807433E1,3.594631255E-1,9.217470139E-2,-2.814929374E-2
1.522793733E1,6.021329761E-2,2.404282540E-1,2.155186236E-1
1.527780033E1,-6.694824994E-2,6.591579318E-1,3.740614355E-1
1.532766333E1,-1.077803671E-1,1.238563061E0,2.623936832E-1
