"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.562434775E1,2.897973633E-1,-5.908962250E0,-6.078858948E-1
1.567421075E1,3.127446442E0,-1.122231308E1,2.521955566E0
1.572407375E1,1.268162842E0,-9.482630768E0,7.357200623E-1
1.577393675E1,3.635939026E-1,-9.479038239E0,1.132544861E0
1.582379975E1,7.743397522E-1,-9.906100159E0,5.385800171E-1
1.587366275E1,2.279010773E0,-9.060658264E0,1.107546844E0
1.592352575E1,3.072211304E0,-9.792785797E0,7.177574158E-1
1.597338775E1,6.703060913E-1,-9.940827942E0,1.251397705E-1
1.602325075E1,1.482966156E0,-9.592651978E0,-3.861968994E-2
1.607311375E1,1.395847321E0,-1.025816803E1,-3.544628906E-1
1.612297675E1,3.824546814E-1,-9.812694397E0,-7.086264038E-1
1.617283975E1,-5.719606018E-1,-1.009096573E1,-5.673202515E-1
1.622270275E1,7.357200623E-1,-9.422605591E0,-7.384144592E-1
1.627256575E1,-8.619076538E-1,-1.013437546E1,1.039887543E0
1.632242875E1,3.705244904E0,-7.705825653E0,1.596729584E0
1.637229075E1,-1.044078827E0,-1.150956573E1,3.779490509E0
1.642215375E1,5.677693176E-1,-1.043989014E1,-1.645079041E0
1.647201721E1,9.717791748E-1,-1.015323624E1,6.230044556E-1
1.652188021E1,2.508782959E0,-1.261322067E1,1.727258148E0
1.657174321E1,4.039649506E0,-9.011260986E0,-2.481689301E0
1.662160621E1,1.718276825E0,-7.194189606E0,-4.258644104E-1
1.667146921E1,-2.677931213E-1,-8.648415527E0,8.881031799E-1
1.672133221E1,5.195545807E0,-8.954379272E0,-1.865720215E0
1.677119421E1,1.589993591E0,-7.895032196E0,-7.982899475E-1
1.682105721E1,2.599644012E0,-1.192120972E1,3.201841736E-1
1.687092021E1,3.548071747E0,-9.231303406E0,9.788145447E-1
1.692078321E1,3.286415863E0,-9.013955383E0,-5.046006775E-1
1.697064621E1,2.439477081E0,-7.819439392E0,-1.161135406E0
1.702050921E1,1.524729309E0,-9.770033112E0,2.013313293E-1
1.707037121E1,3.255130920E0,-9.129515076E0,-2.624043274E-1
1.712023421E1,1.792223053E0,-1.226235031E1,1.621877289E0
1.717009721E1,2.716251526E0,-9.018446045E0,-2.652484131E-1
1.721996021E1,3.023562469E0,-1.018032990E1,4.357438660E-1
1.726982321E1,5.090763702E0,-9.008865967E0,-4.635859680E-1
1.731968621E1,6.897656250E-1,-8.403075714E0,9.864486694E-2
1.736954921E1,2.196083221E0,-9.614805908E0,6.161187744E-1
1.741941121E1,4.122427368E0,-8.907826080E0,-3.796105957E-1
