"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.748075093E1,-7.100399971E0,2.684000015E0,-4.832419968E1
1.753075093E1,-7.307799816E0,7.381000042E0,-4.716519928E1
1.758075093E1,-7.466399670E0,1.252939987E1,-4.732379913E1
1.763075093E1,-7.405399799E0,1.765340042E1,-4.581100082E1
1.768075093E1,-7.307799816E0,2.219179916E1,-4.426160049E1
1.773075093E1,-7.088200092E0,2.574199867E1,-4.291959763E1
1.778075093E1,-6.880799770E0,2.804780006E1,-4.201679993E1
1.783075093E1,-6.844199657E0,2.920679855E1,-4.144339752E1
1.788075093E1,-7.027199745E0,2.918239975E1,-4.140679932E1
1.793075093E1,-7.417599678E0,2.787699890E1,-4.202899933E1
1.798075093E1,-7.746999741E0,2.547360039E1,-4.305379868E1
1.803075093E1,-8.100799561E0,2.216740036E1,-4.440800095E1
1.808075093E1,-8.369199753E0,1.827560043E1,-4.583539963E1
1.813075093E1,-8.430199623E0,1.405439949E1,-4.715299988E1
1.818075093E1,-8.210599899E0,9.686800003E0,-4.838520050E1
1.823075093E1,-7.722599983E0,5.355799675E0,-4.936119843E1
1.828075093E1,-7.222399712E0,1.427399993E0,-5.005659866E1
1.833075093E1,-6.758800030E0,-1.829999924E0,-5.047139740E1
1.838075093E1,-6.587999821E0,-3.916199923E0,-5.058119965E1
1.843075093E1,-6.734399796E0,-4.904399872E0,-5.060559845E1
1.848075093E1,-7.027199745E0,-4.501800060E0,-5.041040039E1
1.853075093E1,-7.478600025E0,-2.793799877E0,-5.003219986E1
1.858075093E1,-8.064199448E0,1.097999960E-1,-4.936119843E1
1.863075093E1,-9.076799393E0,4.245599747E0,-4.831200027E1
1.868075093E1,-1.021140003E1,9.003600121E0,-4.677479935E1
1.873075093E1,-1.132159996E1,1.404220009E1,-4.534740067E1
1.878075093E1,-1.194379997E1,1.850740051E1,-4.415179825E1
1.883075093E1,-1.278559971E1,2.244799995E1,-4.273659897E1
1.888075093E1,-1.337119961E1,2.520520020E1,-4.179719925E1
1.893075093E1,-1.393239975E1,2.688879967E1,-4.112619781E1
1.898075093E1,-1.446920013E1,2.746220016E1,-4.086999893E1
1.903075093E1,-1.478639984E1,2.665699959E1,-4.129700089E1
1.908075093E1,-1.494499969E1,2.482699966E1,-4.213879776E1
1.913075093E1,-1.457899952E1,2.197220039E1,-4.338319778E1
1.918075093E1,-1.368839931E1,1.848299980E1,-4.481060028E1
1.923075093E1,-1.240740013E1,1.454239941E1,-4.643320084E1
1.928075093E1,-1.108979988E1,1.044320011E1,-4.772639847E1
1.933075093E1,-9.772199631E0,6.209799767E0,-4.886100006E1
1.938075093E1,-8.454599380E0,2.232599974E0,-4.987360001E1
1.943075093E1,-7.173599720E0,-1.171200037E0,-5.061779785E1
1.948075093E1,-6.051199913E0,-3.806399822E0,-5.125219727E1
1.953075093E1,-5.575399876E0,-5.306999683E0,-5.152059937E1
1.958075093E1,-6.026799679E0,-5.368000031E0,-5.167919922E1
1.963075093E1,-6.331799984E0,-4.221199989E0,-5.153279877E1
1.968075093E1,-7.051599979E0,-1.939799905E0,-5.115459824E1
1.973075093E1,-8.149600029E0,1.439599991E0,-5.053239822E1
1.978075093E1,-9.454999924E0,5.575399876E0,-4.986140060E1
1.983075093E1,-1.105319977E1,9.942999840E0,-4.862919998E1
1.988075093E1,-1.266359997E1,1.421299934E1,-4.716519928E1
1.993075093E1,-1.417640018E1,1.799499893E1,-4.568899918E1
1.998075093E1,-1.560379982E1,2.082539940E1,-4.439579773E1
2.003075093E1,-1.686039925E1,2.254559898E1,-4.337099838E1
2.008075093E1,-1.803159904E1,2.348499870E1,-4.252919769E1
2.013075093E1,-1.867819977E1,2.335079956E1,-4.218759918E1
