"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.082456130E1,-1.957918167E0,1.829487532E-1,2.434226274E-1
1.087536953E1,-1.621035933E0,-1.267508045E-2,8.964183182E-2
1.092617692E1,-5.685460567E-1,-2.457133085E-1,-1.795890927E-1
1.097698354E1,5.505260825E-1,1.072036922E-1,-2.568612695E-1
1.102779099E1,8.031114340E-1,-2.403683960E-1,-3.090887070E-1
1.107859916E1,6.676560640E-1,-3.868190348E-1,-2.748812735E-1
1.112940656E1,9.278770089E-1,-2.837385535E-1,4.718795046E-2
1.118021312E1,1.292247415E0,-6.879667044E-1,2.748812549E-3
1.123102057E1,1.609887958E0,-5.803049207E-1,-5.260922313E-1
1.128182875E1,1.643637300E0,3.617742956E-1,-5.625903010E-1
1.133263614E1,1.421288848E0,7.875348330E-1,-3.576510847E-1
1.138344265E1,1.569266558E0,7.661551833E-1,-4.340069890E-1
1.143425005E1,1.878966212E0,7.821899056E-1,-6.210789680E-1
1.148505823E1,1.754200578E0,9.086353332E-2,-5.954233408E-1
1.153586557E1,1.393953443E0,-4.147652984E-1,-5.030327439E-1
1.158667208E1,6.416950226E-1,-9.651386738E-2,-5.519005060E-1
1.163747948E1,4.077405483E-2,3.054236295E-4,-2.266243398E-1
1.168828760E1,-8.579349518E-1,-1.605001241E-1,4.869979918E-1
1.173909495E1,-1.665322304E0,-3.909422457E-1,8.930587173E-1
1.178990140E1,-1.934553266E0,-4.214846194E-1,7.351546884E-1
1.184070880E1,-2.177365065E0,-4.062134400E-2,8.107470274E-1
1.189151687E1,-2.298770905E0,1.760767251E-1,9.350544214E-1
1.194232416E1,-2.097191334E0,4.802786708E-1,9.990406632E-1
1.199313062E1,-1.928292036E0,3.816268146E-1,6.287145615E-1
1.204393797E1,-1.573389769E0,9.330692142E-2,3.672719002E-1
1.209474604E1,-1.011257648E0,-1.701209545E-1,-6.108472496E-2
1.214555333E1,-1.957765520E-1,7.986827940E-2,-9.498675168E-2
1.219635974E1,3.005368412E-1,-1.233911440E-1,-2.040229887E-1
1.224716708E1,5.980194807E-1,-1.852394342E-1,-6.398624927E-2
1.229797510E1,1.147781968E0,-3.471139669E-1,3.680354729E-2
1.234878234E1,1.355775476E0,7.284353673E-2,-2.012741715E-1
1.239958875E1,1.414416790E0,-1.078145429E-1,-4.711159468E-1
1.245039604E1,1.376849771E0,1.754658818E-1,-5.841227174E-1
1.250120406E1,1.783826709E0,2.521272004E-1,-7.824953198E-1
1.255201130E1,2.163926363E0,3.987305462E-1,-9.455915689E-1
1.260281765E1,2.370087385E0,5.858024955E-1,-9.071081877E-1
1.265362489E1,2.086196184E0,4.217900336E-1,-6.316160560E-1
1.270443291E1,1.233453274E0,-9.315420687E-2,-5.259394646E-1
1.275524010E1,2.093679011E-1,-3.859027624E-1,-3.240544796E-1
1.280604646E1,-3.819322586E-1,-2.528907657E-1,1.466033421E-2
1.285685370E1,-1.161678791E0,-2.605263591E-1,2.163926363E-1
1.290766166E1,-1.827654958E0,-2.857238054E-1,2.553341687E-1
1.295846880E1,-2.436364174E0,-1.203369126E-1,4.297310412E-1
1.300927510E1,-2.415137291E0,1.475196183E-1,7.598940134E-1
1.306008234E1,-2.248528719E0,2.605263591E-1,9.965972900E-1
1.311089026E1,-2.177517653E0,2.994678617E-1,7.533273697E-1
1.316169739E1,-1.960056186E0,5.192201585E-2,4.062134326E-1
1.321250370E1,-1.581636310E0,-3.229855001E-1,1.348445266E-1
1.326331088E1,-5.948125124E-1,-1.466033459E-1,-1.380514801E-1
1.331411875E1,3.741439581E-1,1.725643501E-2,-3.020639718E-1
1.336492588E1,6.256603003E-1,-4.535540938E-1,-2.238755226E-1
1.341573213E1,9.495620728E-1,-5.517477989E-1,-4.230117425E-2
1.346653932E1,1.476723194E0,-2.481566966E-1,3.451287001E-2
1.351734718E1,1.627907991E0,-4.184303582E-1,-2.235700935E-1
1.356815427E1,1.820019364E0,-5.945070982E-1,-1.201841980E-1
1.361896052E1,1.807802439E0,1.014006436E-1,-4.906630516E-1
1.366976765E1,1.807802439E0,4.559974670E-1,-3.687990308E-1
1.372057547E1,1.946617484E0,7.539382577E-1,-4.295783341E-1
1.377138255E1,2.055653811E0,8.367080092E-1,-4.993676245E-1
1.382218875E1,1.845216870E0,1.779092699E-1,-1.174353883E-1
1.387299583E1,8.345700502E-1,-2.394521236E-1,-2.241809368E-1
1.392380370E1,-3.981196880E-1,-4.972296655E-1,-1.249182671E-1
1.397461073E1,-1.498713732E0,-8.108997345E-2,2.125748396E-1
1.402541687E1,-2.062983990E0,-9.972081333E-2,3.167243004E-1
1.407622396E1,-2.318165302E0,-1.059819981E-1,5.589252710E-1
1.412703177E1,-2.274031639E0,2.046338283E-2,8.156337738E-1
1.417783875E1,-2.133842230E0,3.973561525E-1,8.507575393E-1
1.422864495E1,-2.167286158E0,4.144598544E-1,7.560762167E-1
1.427945198E1,-2.181030035E0,4.104893506E-1,1.896680743E-1
1.433025974E1,-1.559034944E0,-4.764608666E-2,-3.542914093E-1
1.438106672E1,-4.037700295E-1,6.826218218E-2,-3.162661791E-1
1.443187286E1,4.129327536E-1,-2.901524538E-3,-1.609582454E-1
1.448267989E1,9.442171454E-1,-6.652126908E-1,-1.566823274E-1
1.453348765E1,1.101662993E0,-2.441861928E-1,-8.063183725E-2
1.458429463E1,1.226886749E0,-4.766135812E-1,1.710372418E-2
1.463510073E1,1.359745979E0,-4.001049399E-1,-2.861819267E-1
1.468590776E1,1.786575556E0,-3.878880143E-1,-6.847597957E-1
1.473671552E1,2.131398916E0,-1.618745178E-2,-6.441384554E-1
1.478752244E1,2.418802500E0,5.737382770E-1,-4.778352678E-1
1.483832854E1,2.420329571E0,8.677085042E-1,-2.892361879E-1
1.488913557E1,2.093373537E0,1.076007485E0,-2.625116110E-1
1.493994328E1,1.194664478E0,2.060082406E-1,-3.326063454E-1
1.499075026E1,2.851129472E-1,-4.175141156E-1,-1.325538605E-1
1.504155635E1,-9.071081877E-1,-2.718270421E-1,-2.504473738E-2
1.509236333E1,-1.798181653E0,-2.220429778E-1,5.879404768E-2
1.514317104E1,-2.223178625E0,-1.139230132E-1,3.252761811E-2
1.519397802E1,-2.444305420E0,6.123743951E-2,3.460449576E-1
1.524478411E1,-2.661003351E0,5.344913527E-2,5.845808387E-1
1.529559109E1,-2.398797274E0,6.258130074E-1,8.748859763E-1
1.534639880E1,-2.257233381E0,3.530697227E-1,4.529432356E-1
1.539720573E1,-1.757254839E0,-5.680879578E-2,1.223221645E-1
1.544801182E1,-6.366555691E-1,-3.683409095E-1,-2.712161839E-1
1.549881885E1,2.316638231E-1,-6.841489673E-2,-2.255553454E-1
1.554962656E1,6.526902914E-1,-6.642963886E-1,-1.743968874E-1
1.560043349E1,8.351809382E-1,-2.912214398E-1,3.176405653E-2
1.565123958E1,1.197871447E0,-5.210527182E-1,1.976090819E-1
1.570204661E1,1.351652265E0,-2.632751763E-1,-3.316900730E-1
1.575285432E1,1.772067904E0,-3.817795217E-2,-4.266768098E-1
1.580366125E1,2.082225561E0,-8.047912270E-2,-4.431696832E-1
1.585446739E1,2.165911674E0,3.927747905E-1,-6.026008129E-1
1.590527437E1,2.232341290E0,6.581879258E-1,-3.092414141E-1
1.595608208E1,1.982810259E0,8.525900841E-1,-3.400892019E-1
1.600688906E1,1.640583038E0,4.966188073E-1,-5.712949038E-1
1.605769515E1,8.594620824E-1,-1.939440072E-1,-2.073826492E-1
1.610850307E1,-2.092151791E-1,-2.764083743E-1,-1.449235082E-1
1.615931078E1,-1.283390045E0,-4.705050886E-1,1.634016484E-1
1.621011776E1,-2.064969063E0,-3.816268146E-1,2.429644912E-1
1.626092385E1,-2.619771242E0,-1.324011385E-1,3.605526090E-1
1.631173088E1,-2.799513102E0,1.885990947E-1,5.891621709E-1
1.636253864E1,-2.566780090E0,4.080459774E-1,6.748335361E-1
1.641334562E1,-2.435142517E0,3.016058207E-1,4.442386627E-1
1.646415171E1,-2.045116663E0,1.521009654E-1,2.044811249E-1
1.651495874E1,-1.167023659E0,-4.208737612E-1,-2.577775419E-1
1.656576651E1,-7.207997888E-2,-2.057028115E-1,1.287360638E-1
1.661657348E1,6.300889254E-1,-3.504736125E-1,4.337015375E-2
1.666737958E1,1.056154966E0,-3.697153032E-1,-1.082726792E-1
1.671818661E1,1.168092728E0,3.191677108E-2,1.801999360E-1
1.676899437E1,1.310725451E0,-2.189887464E-1,9.468132630E-3
1.681980135E1,1.675095916E0,-2.764083743E-1,-3.481829464E-1
1.687060749E1,1.932262540E0,-2.809897363E-1,-4.908157587E-1
1.692141452E1,2.040382624E0,1.493521482E-1,-6.464291215E-1
1.697222229E1,2.343973637E0,6.067240238E-1,-5.743491650E-1
1.702302932E1,2.481108904E0,7.840224504E-1,-6.123743653E-1
1.707383541E1,1.853157878E0,2.924431264E-1,-4.895940721E-1
1.712464249E1,5.654918551E-1,-3.449759781E-1,-2.467822880E-1
1.717545026E1,-5.664080977E-1,-4.517215490E-1,-1.892099380E-1
1.722625723E1,-1.410904408E0,-4.822639227E-1,1.663031727E-1
1.727706338E1,-2.105285168E0,-3.338280320E-1,3.862081766E-1
1.732787041E1,-2.473625898E0,-2.089097649E-1,3.515425920E-1
1.737867822E1,-2.416358948E0,1.398840249E-1,7.070556879E-1
1.742948520E1,-2.149724245E0,1.815743446E-1,9.483403563E-1
1.748029135E1,-2.202409744E0,-2.293731421E-1,9.222266674E-1
1.753109843E1,-2.011978149E0,-1.421747059E-1,4.002576768E-1
1.758190619E1,-1.487718463E0,8.750387281E-2,-2.757975459E-1
1.763271322E1,-3.732276857E-1,1.166718230E-1,-1.904316396E-1
1.768351937E1,6.485670805E-1,6.917845458E-2,-3.373403847E-1
1.773432645E1,1.119835734E0,-1.412584335E-1,-2.281514555E-1
1.778513421E1,1.369672298E0,6.872031838E-3,-4.990622103E-1
1.783594124E1,1.471531034E0,4.819584787E-1,-7.062921524E-1
1.788674739E1,1.827502251E0,3.968980014E-1,-2.098107576E0
1.793755447E1,1.745496035E0,5.748072863E-1,-1.994874477E0
1.798836229E1,1.784742951E0,5.705313683E-1,-1.151752472E0
1.803916932E1,1.713732004E0,2.092151903E-2,-2.341072112E-1
1.808997546E1,1.443432093E0,6.003101468E-1,8.307522535E-2
1.814078255E1,1.345543742E0,8.159392476E-1,8.338065445E-2
1.819159036E1,1.097539783E0,7.240067124E-1,3.045073450E-1
1.824239739E1,5.250232220E-1,1.582094431E-1,1.820324808E-1
1.829320359E1,-1.525591016E-1,-5.367820263E-1,2.615953386E-1
1.834401062E1,-1.048672080E0,-1.011868477E0,5.062396526E-1
1.839481848E1,-1.757102132E0,-9.257390499E-1,4.210264683E-1
1.844562546E1,-2.196912050E0,-5.002838969E-1,1.580567211E-1
1.849643166E1,-2.485842943E0,2.139492482E-1,2.641914412E-2
1.854723874E1,-2.555479527E0,2.000524849E-2,1.705790907E-1
1.859804661E1,-2.636569500E0,-8.524373770E-1,1.275143623E-1
1.864885364E1,-2.049239874E0,-6.305471063E-1,-5.662553906E-1
1.869965984E1,-9.619317055E-1,2.105895877E-1,-7.675296068E-1
1.875046692E1,-2.417428046E-1,1.070509851E-1,-6.119162440E-1
1.880127473E1,4.436278343E-1,8.276980370E-2,-7.872294188E-1
1.885208182E1,1.052795291E0,9.037485123E-1,-6.473453641E-1
1.890288802E1,9.744541049E-1,1.111742035E-1,4.917320311E-1
1.895369515E1,1.413195133E0,-1.369825006E-1,5.176930428E-1
1.900450296E1,1.802152157E0,5.344913341E-3,8.765657991E-2
1.905531005E1,1.500393629E0,1.629435122E-1,-5.057815313E-1
1.910611624E1,1.800166845E0,1.904621720E0,-8.582404256E-1
1.915692338E1,1.538724303E0,1.282321095E0,-8.796200752E-1
1.920773124E1,1.544527292E0,7.108734846E-1,-5.183038712E-1
1.925853833E1,1.563005447E0,3.136700690E-1,-4.723376334E-1
1.930934452E1,7.065975666E-1,3.063398898E-1,-6.731536984E-1
1.936015166E1,5.803048983E-2,2.942756712E-1,-6.723901033E-1
1.941095958E1,-4.314108789E-1,-2.761029601E-1,-1.869192570E-1
