"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.274607198E1,-1.871479988E1,3.223239899E1,-2.880419922E1
1.279607198E1,-1.804380035E1,3.036579895E1,-3.329380035E1
1.284607198E1,-1.753139877E1,2.896279907E1,-3.657559967E1
1.289607198E1,-1.798279953E1,2.730360031E1,-3.840559769E1
1.294607198E1,-1.978839874E1,2.548579979E1,-3.906439972E1
1.299607198E1,-2.180139923E1,2.551019859E1,-3.785659790E1
1.304607198E1,-2.280179977E1,2.786479950E1,-3.468460083E1
1.309607198E1,-2.368019867E1,3.086599922E1,-2.964599991E1
1.314607198E1,-2.477820015E1,3.376959991E1,-2.438780022E1
1.319607198E1,-2.508320045E1,3.601440048E1,-1.920279884E1
1.324607198E1,-2.533939934E1,3.785659790E1,-1.494499969E1
1.329607198E1,-2.532719994E1,4.000379944E1,-1.139480019E1
1.334607198E1,-2.469279861E1,4.261459732E1,-9.528200150E0
1.339607198E1,-2.313119888E1,4.385899734E1,-9.454999924E0
1.344607198E1,-2.205760002E1,4.251699829E1,-1.212679958E1
1.349607198E1,-2.121579933E1,4.004039764E1,-1.697019958E1
1.354607198E1,-2.098399925E1,3.719779968E1,-2.235039902E1
1.359607198E1,-2.027639961E1,3.466019821E1,-2.815760040E1
1.364607198E1,-1.961759949E1,3.279359818E1,-3.284239960E1
1.369607198E1,-1.877579880E1,3.120759964E1,-3.655120087E1
1.374607198E1,-1.890999985E1,2.918239975E1,-3.882040024E1
1.379607198E1,-2.016659927E1,2.725479889E1,-3.988179779E1
1.384607198E1,-2.083759880E1,2.766959953E1,-3.900339890E1
1.389607198E1,-2.095960045E1,3.014620018E1,-3.562400055E1
1.394607198E1,-2.159399986E1,3.297660065E1,-3.023159981E1
1.399607198E1,-2.249679947E1,3.544099808E1,-2.480259895E1
1.404607198E1,-2.308239937E1,3.735639954E1,-1.959319878E1
1.409607198E1,-2.358259964E1,3.913759995E1,-1.542079926E1
1.414607198E1,-2.414379883E1,4.178499985E1,-1.161439991E1
1.419607198E1,-2.291160011E1,4.409079742E1,-9.772199631E0
1.424607198E1,-2.219179916E1,4.440800095E1,-9.796599388E0
1.429607198E1,-2.238699913E1,4.222419739E1,-1.268799973E1
1.434607198E1,-2.153299904E1,3.913759995E1,-1.756799889E1
1.439607198E1,-2.095960045E1,3.651459885E1,-2.287500000E1
1.444607198E1,-2.073999977E1,3.441619873E1,-2.782819939E1
1.449607198E1,-2.065460014E1,3.279359818E1,-3.151259995E1
1.454607198E1,-2.008119965E1,3.087819862E1,-3.512379837E1
1.459607198E1,-2.086199951E1,2.867000008E1,-3.716119766E1
