Time window,Time (s)_acc,Time (s)_gyro,Time (s)_mag,Time (s)_lin_acc,Time (s)_prox,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Distance (cm)
365.72999999999996,,365.7543662,,,,,,,-1.629435062,-2.260287523,-0.9078717232,,,,,,,
365.76,365.77258,,365.76845269999995,365.76120330000003,,-1.536491275,-7.841279984,0.3547359705,,,,6.197599887999999,53.54579926,5.929199696,-2.9221987719999998,2.563313961,1.846102476,
365.78999999999996,,365.80517230000004,365.81845269999997,365.81120330000005,,,,,-0.9289459586,-3.351566315,0.1605001241,6.429399967,52.59420013,8.881599426000001,-2.047115088,0.7972106934000001,-0.3450564146,
365.82,365.82257999999996,,,,,-1.162911773,-8.463712692,-1.5340983869999998,,,,,,,,,,
365.84999999999997,365.87257999999997,365.8559775,365.8684527,365.86120330000006,,2.8543384080000003,-9.30179882,2.859123945,-1.657992125,-0.4553866386,0.8081509470999999,7.027199745,51.41079712,12.55379963,1.961612463,0.8105201720999999,4.2554373739999996,
365.88,,365.90678189999994,,,,,,,-1.211615562,-0.9660549164,0.6087092757,,,,,,,
365.90999999999997,365.92258,,365.9184527,365.9112033,,5.1765728,-10.40788078,1.55204463,,,,7.990999699,49.82479858,16.68959999,5.943202972000001,-1.242673874,5.613801003,
365.94,,365.9575872,365.9684527,365.9612033,,,,,-0.5062396526,-0.07177454977999999,-0.07635590433999999,8.954799652,48.18999863,20.77659988,4.008924007,-6.171283722,2.532667398,
365.96999999999997,365.97258,,,,,2.387438774,-14.8654108,0.9245268703,,,,,,,,,,
366.0,366.02258,366.0083932,366.01845269999995,366.01120330000003,,-2.273779631,-11.41316605,5.236393452,0.44103172420000003,-0.04184303805,-0.6116108297999999,9.857600212000001,46.48199844,24.31459999,-0.5818706155,-3.262611389,8.706427574,
366.03,,366.0591985,,,,,,,3.832455635,1.3139324190000001,0.013896775430000001,,,,,,,
366.06,366.07257999999996,,366.06845269999997,366.06120330000005,,0.20398813489999998,-16.18475342,-2.304886341,,,,10.5529995,45.35960007,26.37639999,0.053012110290000004,-4.512056351,4.652635098,
366.09,,366.1100029,366.1184527,366.11120330000006,,,,,3.876742125,-0.2896943092,-0.3507790267,11.33379936,45.09119797,26.53499985,-1.74188149,-9.219118117999999,-7.801441193,
366.12,366.12257999999997,,,,,-3.30089879,-18.44956017,-4.186841488,,,,,,,,,,
366.15,366.17258,366.1608082,366.1684527,366.1612033,,-2.1421744819999997,-13.02921867,-0.8638089895000001,2.61106658,1.681815267,0.02733541466,12.30980015,45.4693985,24.90019989,-2.36908102,-5.219015121,-1.18875289,
366.21,366.22258,366.2116142,366.2184527,366.2112033,,0.23030917350000002,-7.369594574,-0.04007977992,2.530740261,0.413543582,0.08948912472000001,12.85879993,46.21360016,22.26499939,0.7225635052,0.4437828064,-4.713806152,
366.24,,366.26241939999994,366.26845269999995,366.26120330000003,,,,,3.022014141,2.508596897,0.2965663373,13.16379929,47.16519928,18.50740051,3.726167202,4.319970608,-5.400475978999999,
366.27,366.27258,,,,,3.414557934,-4.408177376,-2.944069147,,,,,,,,,,
366.3,366.32257999999996,366.31322389999997,366.31845269999997,366.31120330000005,,1.50418818,-2.741875648,-1.8646070959999999,1.707470775,3.3729457860000003,-0.5291464329,13.39559937,48.45840073,13.66399956,3.9323792460000004,5.11316967,-6.7862691879999995,
366.36,366.37257999999997,366.36402910000004,366.3684527,366.36120330000006,,-2.079961061,-1.609472275,-2.829213619,-0.15362808109999998,3.097911835,-0.9825478195999999,13.1882,50.03219986,8.710800171,0.5914013386,6.440179825,-8.108385086,
366.39,,366.41483519999997,366.4184527,366.4112033,,,,,-1.999608517,0.46913069490000003,-1.584079623,12.88319969,51.67919922,4.245599747,-1.188818216,5.433074474,0.20414400100000002,
366.41999999999996,366.42258,,,,,-4.069293976,-4.645066738,9.126823425,,,,,,,,,,
366.45,366.47258,366.4656404,366.4684527,366.4612033,,-6.09960413,-26.22802734,13.90798283,0.22051586210000002,0.534185946,0.029015244920000002,12.21220016,52.93579865,0.8051999806999999,-11.12350655,-18.99267578,9.617790222,
366.51,366.52258,366.51644480000004,366.51845269999995,366.51120330000003,,-3.1190443039999995,-4.020241261000001,7.53469944,1.218182087,1.040578246,-0.289083451,11.73639965,53.59460068,-1.79339993,0.043338656430000004,4.328184128,2.228685379,
