"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.980352156E1,4.343199730E0,3.251300049E1,-4.079679871E1
1.985352156E1,6.026799679E0,3.140279961E1,-4.184600067E1
1.990352156E1,6.539199829E0,3.173219872E1,-4.144339752E1
1.995352156E1,6.197599888E0,3.333039856E1,-3.986959839E1
2.000352156E1,4.953199863E0,3.573379898E1,-3.713679886E1
2.005352156E1,2.598599911E0,3.797859955E1,-3.407460022E1
2.010352156E1,-6.099999696E-2,4.008919907E1,-3.064639854E1
2.015352156E1,-2.622999907E0,4.250479889E1,-2.646179962E1
2.020352156E1,-5.306999683E0,4.531079865E1,-2.155739975E1
2.025352156E1,-7.637199879E0,4.790940094E1,-1.642119980E1
2.030352156E1,-9.296400070E0,4.967839813E1,-1.210239983E1
2.035352156E1,-1.056519985E1,5.069099808E1,-9.589200020E0
2.040352156E1,-1.172420025E1,5.067879868E1,-9.454999924E0
2.045352156E1,-1.179739952E1,4.984919739E1,-1.106540012E1
