"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.972487402E1,2.267797709E0,-4.439284325E0,-3.159722328E0
6.977487402E1,3.672982693E0,-1.003789067E0,-3.329612732E0
6.982487402E1,2.757728100E-1,-2.350948304E-1,-1.866999865E0
6.987487402E1,-3.612264872E0,-6.493522644E0,1.523898983E1
6.992487402E1,-8.087740541E-1,-1.962742615E1,1.066391277E1
6.997487402E1,-4.674977303E0,-1.165753269E1,1.201406384E1
7.002487402E1,-3.322434187E0,-4.728815556E0,-1.441436386E1
7.007487402E1,-1.238285750E-1,-1.083619690E1,-8.481658936E0
7.012487402E1,5.066503048E0,-1.632592964E1,2.471187592E0
7.017487402E1,5.406283855E0,-8.396714211E0,2.265404940E0
7.022487402E1,-1.651346684E0,-5.799005508E0,3.139084101E0
7.027487402E1,-3.581158161E0,-7.199704170E0,1.087537885E0
7.032487402E1,-2.437688112E-1,-9.368798256E0,-3.372683525E0
7.037487402E1,2.593221426E0,-1.047727299E1,4.113561153E0
7.042487402E1,6.507580280E0,-1.351286793E1,1.197607756E0
7.047487402E1,1.247856975E0,-1.599811268E1,6.232405663E0
7.052487402E1,4.866403043E-1,-1.606271935E1,2.914158821E0
7.057487402E1,-4.337589264E0,-1.891167450E1,-6.422934055E0
7.062487402E1,-3.853940010E0,-1.645753479E1,-1.821237087E0
7.067487402E1,9.966106415E-1,-8.042277336E0,-2.683251381E0
7.072487402E1,3.105584621E0,-3.924528122E0,-2.707179785E0
7.077487402E1,2.322832584E0,-1.437189102E0,-2.673680305E0
7.082487402E1,-1.512562990E0,-9.008977413E-1,-2.558824778E0
7.087487402E1,-1.632204175E0,-4.293322086E0,1.367797279E1
7.092487402E1,-5.426921844E0,-2.137029839E1,1.180588818E1
7.097487402E1,-3.547359467E0,-6.991229534E0,1.024726295E1
7.102487402E1,-3.408575773E0,-1.223689461E1,-1.348774338E1
7.107487402E1,-6.695715904E0,-8.111668587E0,2.607578516E0
7.112487402E1,6.502794743E0,-1.158574772E1,-6.384648800E0
7.117487402E1,8.293822289E0,-1.343151188E1,2.487937450E0
7.122487402E1,1.202393398E-1,-6.098407745E0,2.430509567E0
7.127487402E1,-2.987139940E0,-6.747161865E0,2.188834429E0
7.132487402E1,-2.257030010E0,-8.332107544E0,-3.245863914E0
7.137487402E1,3.260220885E-1,-9.246464729E0,5.383851007E-3
7.142487402E1,7.221239567E0,-1.250249863E1,6.318547249E0
