"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.856874846E1,2.140520639E0,1.416572776E0,1.790218627E-1
1.861861146E1,2.840753950E0,-5.395966140E0,2.802547073E0
1.866847446E1,-6.808725947E-1,3.292336169E-1,8.796814352E-2
1.871833746E1,1.464517021E-1,1.416353798E0,8.374312091E-1
1.876819946E1,-1.576870685E0,5.711685964E-1,-1.847261140E0
1.881806246E1,-1.511854910E0,2.369117535E0,-5.371505190E-1
1.886792546E1,1.987006086E0,5.265423542E-1,7.724228887E-1
1.891778846E1,1.205012913E0,1.289959508E0,1.176007800E0
1.896765146E1,1.309033710E-1,2.477074093E0,-6.503197235E-1
1.901751346E1,1.252409273E-1,9.172392708E-1,5.756554574E-1
1.906737646E1,3.096451521E-2,2.383285339E0,-1.872411476E-1
1.911723946E1,1.456039143E0,2.388413932E0,-3.165824349E-1
1.916710246E1,-2.329858160E-1,1.289697552E0,-1.280290406E0
1.921696546E1,3.756146085E-1,-1.625844625E0,9.875321585E-1
1.926682746E1,1.259262210E-1,-1.067585219E0,7.280178174E-2
1.931669046E1,1.115086244E0,1.694925385E0,-1.988385151E-1
